Category,English,Amharic,Oromo,Tigrinya
Greetings and farewell,Hello my friend,ሰላም ጓደኛዬ,Akkam jirtu hiriyaa koo,ሰላም ዓርከይ
Greetings and farewell,How are you?,እንደምን ነህ?,Akkam jirta?,ከመይ አለካ?
Greetings and farewell,Good morning,እንዴት አደርክ,Akkam bulte,ከመይ ሓዲርኩም
Greetings and farewell,Good afternoon,እንደምን ዋልክ,Akkam ooltan,ከመይ ውዒሎም
Greetings and farewell,Good night,መልካም ሌሊት,Halkan gaarii,ልዋም ለይቲ
Greetings and farewell,Hello,ሰላም,Akkam,ሰላም
Greetings and farewell,Long time no see,ለረጅም ግዜ አለየሁህም,Osoo wal hin argin bubbulle,ካብ ዘይንራኸብ ብዙሕ ገይርና
Greetings and farewell,Thank you,አመሰግናለሁ,Galatoomaa,የቕንየለይ
Greetings and farewell,Welcome,እንኳን ደህና መጣህ,Baga nagaan dhufte,እንኳዕ ደሓን መፁ
Greetings and farewell,Make yourself at home!,እራስህን እቤት አድርግ!,Mana keessa of tolfadhu!,ንነብስኻ ኣብ ገዛኻ ግበር!
Greetings and farewell,Have a nice day!,መልካም ቀን ይሁንልህ!,Guyyaa gaarii siif haa ta'u!,ብሩኽ መዓልቲ!
Greetings and farewell,See you later!,ደግሜ አይሀለሁ!,Booda wal agarra!,ጸኒሑ የራኽበና!
Greetings and farewell,Have a good trip!,መልካም ጉዞ!,Imala gaarii isiniif haa ta'u!,ሰናይ ጉዕዞ ይግበረልኩም!
Greetings and farewell,I have to go,መሄአድ አለብኝ,Deemuun qaba,ክኸይድ ኣለኒ።
Greetings and farewell,I will be right back!,ወዲያው እመለሳለሁ!,Achumaan deebi'a!,ብቕጽበት ክምለስ እየ!
Romance and love,Are you free tomorrow evening?,ነገ ምሽት ነፃ ነህ?,Boru galgala bilisoomtee?,ጽባሕ ምሸት ናጻ ዲኻ?
Romance and love,I would like to invite you to dinner,እራት ልጋብዝህ እፈልጋለሁ,Irbaata nyaachuuf isin afeeruun barbaada,ናብ ድራር ክዕድመኩም ይፈቱ
Romance and love,You look beautiful!,ታምራለህ!,Bareedduu fakkaatta!,ጽብቕቲ ትመስል!
Romance and love,You have a beautiful name,ቆንጆ ስም አለህ,Maqaa bareedaa qabda,ጽቡቕ ስም ኣለካ
Romance and love,Can you tell me more about you?,ስለእርስዎ የበለጠ ሊነግሩኝ ይችላሉ?,Waa'ee kee kana caalaa natti himuu dandeessaa?,ብዛዕባኻ ዝያዳ ክትነግረኒ ትኽእል ዲኻ?
Romance and love,Are you married?,አግብተሃል?,Fuuteettaa?,ዝተመርዓኻ ዲኻ?
Romance and love,I'm single,ላጤ ነኝ,Ani single dha,ኣነ ንጽል እየ
Romance and love,I'm married,ባለትዳር ነኝ,Ani fuudhee jira,ኣነ በዓል ሓዳር እየ
Romance and love,Can I have your phone number?,ስልክ ቁጥርህን ማግኘት እችላለሁ?,Lakkoofsa bilbilaa keessan qabaachuu nan danda'aa?,ቁጽሪ ተሌፎንካ ክህልወኒ ይኽእል ድዩ?
Romance and love,Do you have any pictures of you?,የእርስዎ ምስሎች አሉዎት?,Suuraa keessan qabduu?,ስእሊ ኣለኩም ዶ?
Romance and love,I like you,እወድሻለሁ,natti tolta,ተመቺካኒ
Romance and love,I love you,እወድሃለሁ,sin jaalladha,የፍቅረኪ እየ
Romance and love,You're very special!,በጣም ልዩ ነሽ!,Baayyee adda taate!,ብጣዕሚ ፍልይቲ ኢኻ!
Romance and love,Would you marry me?,ታገባኛለህ?,Na heerumtaa?,ምተመርዓኻኒ ዶ?
Romance and love,My heart speaks the language of love,ልቤ የፍቅር ቋንቋ ይናገራል,Garaan koo afaan jaalalaa dubbata,ልበይ ቋንቋ ፍቕሪ እዩ ዝዛረብ
Wishes and Introduction,Happy Easter,መልካም ፋሲካ,Baga Ayyaana Faasikaa geessan,ርሑስ በዓል ፋሲካ
